id,lat,lng,original_city,city,country,sr,price
789301,34.0215775,-118.5034308,1032,R12,231,S,1099600
642017,40.6759338379,-73.9829940796,3,R2,231,S,2659800
779889,40.7399523,-74.0291301,72,R15,231,S,2600000
796666,40.7587623596,-73.9636383057,1,R1,231,S,599000
577912,40.7494812012,-73.9717788696,1,R1,231,S,389000
733922,40.8721295,-73.9757522,507,R15,231,S,485000
749851,25.7611801,-80.1935825,2,R4,231,R,3100
786556,40.8239088,-73.3251484,1052,R8,231,S,1399000
759141,40.6890387,-73.9521194,3,R2,231,S,825000
751200,40.7952594,-74.0044011,2499,R15,231,S,475000
800059,51.477177,-0.1464306,885,R13,230,S,1245830
371588,40.6735534668,-73.971534729,3,R2,231,S,1295000
797479,34.064589,-118.4491594,407,R12,231,S,484900
639001,40.7091445923,-74.0139312744,1,R1,231,S,1595000
802236,40.7496099,-74.042319,20,R15,231,S,729000
748245,40.6381950378,-73.8840484619,3,R2,231,S,525000
568447,40.8066253662,-73.937461853,1,R1,231,S,4200000
778965,40.8543197,-72.5306313,94,R3,231,S,3295000
590784,40.7567573,-73.9675341,1,R1,231,S,1575000
787026,34.0667197,-118.4242588,407,R12,231,S,2895000
463280,40.7556648254,-73.9652633667,1,R1,231,S,3794990
768835,40.7849273682,-73.9571151733,1,R1,231,S,17500000
788959,40.7783584595,-73.9792785645,1,R1,231,S,625000
788960,40.7438735962,-73.9811782837,1,R1,231,S,450000
769686,40.7289614,-74.0451469,20,R15,231,S,475000
776344,40.7361412048,-73.9933166504,1,R1,231,S,699000
786249,40.7452163696,-74.0007247925,1,R1,231,S,850000
660712,40.883542,-72.44647,8,R3,231,S,4595000
789524,40.6717529297,-73.9859771729,3,R2,231,S,2350000
780712,40.7308441,-74.0703475,2507,R15,231,S,649900
775952,40.7581176758,-73.9680633545,1,R1,231,S,390000
587328,40.7650566101,-73.9890365601,1,R1,231,S,2195000
543218,40.7556648254,-73.9652633667,1,R1,231,S,1695000
756962,40.80078125,-73.9585189819,1,R1,231,S,6585170
477940,40.7712287903,-73.9474639893,1,R1,231,S,11995000
794999,40.7718162537,-73.9518051147,1,R1,231,S,1639000
536922,40.7884788513,-73.9553451538,1,R1,231,S,3650000
580255,40.7076644897,-74.0098648071,1,R1,231,S,1299000
770982,40.7729377747,-73.9897232056,1,R1,231,S,4050000
797854,40.7404204,-74.0333747,72,R15,231,S,4500000
770976,40.7173881531,-74.0045852661,1,R1,231,S,9950000
770974,40.7395744324,-73.981300354,1,R1,231,S,589999
243706,40.7877616882,-73.955619812,1,R1,231,S,3999999
765352,40.8077888,-74.0095782,2499,R15,231,S,449000
335938,40.7348365784,-74.0090637207,1,R1,231,S,799000
789527,40.8408660889,-73.8888473511,88,R9,231,S,449000
765442,40.7873934,-74.1916066,150,R15,231,S,395000
802238,40.8041877747,-73.9671096802,1,R1,231,S,1399000
774515,40.790678,-74.0009555,2509,R15,231,S,240000
774497,34.0913023,-118.3530013,1006,R12,231,S,1899000
788173,34.1104974,-118.432183,1000,R12,231,S,445000
721716,40.8117934,-72.6115537,17,R3,231,S,3575000
748141,40.7465553284,-73.941619873,4,R7,231,S,1785000
574080,40.878539,-72.523223,94,R3,231,S,1595000
797707,34.049407,-118.444163,407,R12,231,S,2200000
46038,40.7650566,-73.9890387,1,R1,231,S,775000
796129,25.808925,-80.192611,2,R4,231,S,638900
684491,40.7686691284,-73.9582138062,1,R1,231,S,2495000
546291,25.9971064,-80.1175763,109,R4,231,R,3475
264524,40.691532135,-73.9853210449,3,R2,231,S,2275000
776886,40.7150688171,-74.0121688843,1,R1,231,S,4650000
760945,25.782481,-80.190065,2,R4,231,S,503000
561786,40.7615661621,-73.9682006836,1,R1,231,S,5900000
678133,40.7510147095,-73.9825515747,1,R1,231,S,1800000
715981,40.7888298035,-73.9764022827,1,R1,231,S,995000
76743,40.9043655396,-73.9051208496,88,R9,231,S,375000
776488,40.7581325,-74.0449719,2502,R15,231,S,618500
739238,40.6804246,-73.9678823,3,R2,231,S,590000
797412,40.7523994,-74.0253172,72,R15,231,S,549000
761300,40.7242584229,-74.0001831055,1,R1,231,S,17500000
691882,40.7590307,-73.9945665,1,R1,231,S,2760000
734566,40.7616081238,-73.9780349731,1,R1,231,S,6100000
795761,40.7591828,-74.1944157,734,R15,231,S,335000
701854,40.7140197754,-74.0126800537,1,R1,231,S,6550000
774324,40.7526702881,-73.9714126587,1,R1,231,S,12750000
787489,33.9964298,-118.4386927,407,R12,231,S,1198000
797857,40.7368354797,-74.004699707,1,R1,231,S,1525000
797855,40.7458572388,-73.995475769,1,R1,231,S,879000
776569,40.7537132,-74.0530067,2506,R15,231,S,425000
772920,40.6912498474,-73.9941101074,3,R2,231,S,7995000
772201,40.730556488,-74.0034942627,1,R1,231,S,3400000
772203,40.7793807983,-73.957069397,1,R1,231,S,1250000
763107,40.7380867004,-73.9881668091,1,R1,231,S,4995000
648692,40.766910553,-73.9793548584,1,R1,231,S,1975000
788636,40.718711853,-73.9600524902,3,R2,231,S,6995000
788486,40.7211753,-74.0802378,20,R15,231,S,199999
799270,34.0858417,-118.3042303,407,R12,231,S,885000
755980,40.641166687,-73.9469070435,3,R2,231,S,899000
750024,40.749088,-74.039753,20,R15,231,S,899000
794412,40.7244720459,-74.0066986084,1,R1,231,S,1595000
794417,40.7446861267,-73.9571533203,4,R7,231,S,825000
794416,40.7510147095,-73.9825515747,1,R1,231,S,1975000
794415,40.7244720459,-74.0066986084,1,R1,231,S,2750000
794414,40.7701759338,-73.9827804565,1,R1,231,S,1050000
794410,40.7907867432,-73.9779663086,1,R1,231,S,1495000
791200,33.9543974,-118.4365451,407,R12,231,S,759000
739667,32.06872,-81.099274,696,R6,231,S,699000
755695,40.737323761,-73.985534668,1,R1,231,S,899000
749577,40.7845742,-74.0170516,472,R15,231,S,2995000
795652,25.7525432,-80.1987442,2,R4,231,R,3500
788969,40.7438735962,-73.9811782837,1,R1,231,S,425000
536162,40.8113670349,-73.958404541,1,R1,231,S,460000
775517,40.719581604,-73.9942398071,1,R1,231,S,2850000
706056,40.7693367004,-73.9653701782,1,R1,231,S,2450000
776504,40.7501691,-74.0481924,20,R15,231,S,679000
679310,40.6298370361,-73.9272003174,3,R2,231,S,139000
781149,25.7765341,-80.1888665,2,R4,231,S,580000
576185,40.7722587585,-73.9018478394,4,R7,231,S,1200000
698292,40.7812576294,-73.9815139771,1,R1,231,S,7300000
747104,40.6170578003,-74.038230896,3,R2,231,S,566000
787212,34.0570663,-118.3533408,407,R12,231,S,649900
787211,34.052679,-118.330537,407,R12,231,S,979900
796580,40.6780090332,-73.9764633179,3,R2,231,S,4000000
798599,40.7762680054,-73.9868469238,1,R1,231,S,899000
750742,25.9406845,-80.1206365,99,R4,231,S,2890000
226364,40.5815544128,-73.9885101318,3,R2,231,S,1850000
751021,40.6224899292,-73.9652404785,3,R2,231,S,949000
722530,40.7603378296,-73.9845123291,1,R1,231,S,849000
78092,40.733921051,-74.0086898804,1,R1,231,S,6750000
514842,40.7140197754,-74.0126800537,1,R1,231,S,6725000
785966,34.0518548,-118.2960795,407,R12,231,S,559000
721106,40.7397537231,-74.0028915405,1,R1,231,S,2900000
791201,40.7489943,-74.0304801,72,R15,231,S,619900
771503,40.7669639587,-73.9628372192,1,R1,231,S,430000
706208,40.7177886963,-74.0063552856,1,R1,231,S,2395000
530268,40.7641105652,-73.9613800049,1,R1,231,S,3395000
771747,40.7182426453,-74.0049285889,1,R1,231,S,2995000
788979,25.93919,-80.137234,103,R4,231,S,799000
764991,40.7484408,-74.0402704,2506,R15,231,S,299900
772197,40.7241782,-74.047979,20,R15,231,S,1245900
779566,25.8139097,-80.1222767,25,R4,231,R,3100
759884,40.7614784241,-73.999458313,1,R1,231,S,3300000
795273,34.0272409,-118.493601,1032,R12,231,S,1255000
675410,40.7448959351,-73.9582138062,4,R7,231,S,4250000
753215,25.768011,-80.136305,25,R4,231,S,7800000
676292,40.7216262817,-74.0042037964,1,R1,231,S,4750000
770269,40.7688407898,-73.9621505737,1,R1,231,S,2050000
798959,34.0737868,-118.3900661,407,R12,231,S,17500000
508898,34.052871,-118.339468,2091,R12,231,S,1349000
753189,25.802938,-80.1865444,2,R4,231,R,3100
766881,40.7928125,-74.0072541,2509,R15,231,S,699000
766111,40.6298179626,-73.9611587524,3,R2,231,S,1589000
766110,40.6977844238,-73.9772796631,3,R2,231,S,1675000
766109,40.7801094055,-73.9776763916,1,R1,231,S,17999999
245993,40.7033882141,-73.9846420288,3,R2,231,S,3995000
747364,40.6738624573,-73.9834747314,3,R2,231,S,1295000
764299,40.6963274,-74.1019969,2503,R15,231,S,392500
755696,40.7545576,-74.0505644,20,R15,231,S,489000
795785,40.7789098,-74.1629644,734,R15,231,S,350000
749578,40.7531089783,-73.9665222168,1,R1,231,S,1795000
762568,40.726664,-74.077194,20,R15,231,S,699000
745451,40.7642631531,-73.9905776978,1,R1,231,S,1825000
760732,40.7583503723,-73.954246521,1,R1,231,S,1500000
134399,40.7139015198,-73.9774169922,1,R1,231,S,559000
774097,40.8047866821,-73.9678344727,1,R1,231,S,650000
790402,40.8106417,-74.0049218,284,R15,231,S,169900
448897,40.7092590332,-73.9540328979,3,R2,231,S,335000
757292,40.7250213623,-74.0047302246,1,R1,231,S,6450000
757291,40.7523803711,-74.0018005371,1,R1,231,S,32000000
241346,40.7644004822,-73.9581680298,1,R1,231,S,3495000
760919,40.7795944214,-73.9878158569,1,R1,231,S,1699000
724741,40.7193832397,-73.9856491089,1,R1,231,S,1185000
687064,40.6647148132,-73.9543533325,3,R2,231,S,1995000
760915,40.7751464844,-73.947013855,1,R1,231,S,829000
773193,34.0919816,-118.3453826,1006,R12,231,S,1550000
747938,40.7505558,-74.046066,20,R15,231,S,249000
747931,40.7533565,-74.0543381,20,R15,231,S,650000
772767,25.897903,-80.1234483,102,R4,231,R,3350
767265,40.7471103,-74.0315628,72,R15,231,S,568888
767262,40.7500536,-74.0318489,72,R15,231,S,869000
767250,40.7478895,-74.0269005,72,R15,231,S,599999
477995,40.7346534729,-73.9859237671,1,R1,231,S,5495000
767234,40.7659273,-74.0255686,2504,R15,231,S,430000
748111,40.6804695129,-73.9147415161,3,R2,231,S,625000
792717,34.065439,-118.364067,407,R12,231,S,2150000
647604,40.7686882019,-73.9577484131,1,R1,231,S,585000
779742,25.7500112,-80.2006604,2,R4,231,S,550000
509797,40.6946029663,-73.912727356,3,R2,231,S,1399000
753727,40.7054328918,-74.0173187256,1,R1,231,S,8995000
753717,40.7371673584,-73.9540176392,3,R2,231,S,1325000
753267,25.7704705,-80.1939324,2,R4,231,R,3250
723154,40.8826522827,-73.904838562,88,R9,231,S,850000
421178,40.7204284668,-74.0060577393,1,R1,231,S,22500000
725874,40.7359886169,-73.9997177124,1,R1,231,S,25000000
753236,25.7668207,-80.1328514,25,R4,231,S,2999999
788196,41.042654,-72.1577,11,R3,231,S,995000
788193,41.0795507,-72.3486915,117,R3,231,S,649900
765030,25.7729864,-80.1401707,25,R4,231,R,7600
765034,25.78628,-80.144282,25,R4,231,R,3599
765031,25.7707967,-80.1352061,25,R4,231,S,530000
769399,40.734978,-74.0723644,2507,R15,231,S,599000
797881,40.7724266052,-73.962600708,1,R1,231,S,2600000
797880,40.7729568481,-73.9578552246,1,R1,231,S,430000
797879,40.6886901855,-73.9913253784,3,R2,231,S,2500000
797872,40.7672729492,-73.9838256836,1,R1,231,S,1200000
776905,40.7508430481,-73.9684448242,1,R1,231,S,1300000
387770,34.0018219,-118.4735676,1032,R12,231,S,1250000
798887,40.7132530212,-73.9566726685,3,R2,231,S,1495000
778666,33.9901275,-118.4698699,407,R12,231,S,4188000
590273,40.7664909363,-73.9532623291,1,R1,231,S,5995000
775197,25.78628,-80.144282,25,R4,231,R,3000
758344,40.7065658569,-74.0108184814,1,R1,231,S,2495000
763989,40.7226448059,-73.9993362427,1,R1,231,S,4800000
767413,40.7343109,-74.0508252,2506,R15,231,S,1475000
517279,40.6361618042,-73.9757461548,3,R2,231,S,1950000
755271,40.7212486267,-73.9962158203,1,R1,231,S,1840000
742594,40.6804246,-73.9678823,3,R2,231,S,2890000
674693,40.613243103,-73.9438323975,3,R2,231,S,1375000
451389,40.7400093079,-74.002532959,1,R1,231,S,665000
796347,40.8274182,-73.859106,88,R9,231,S,895000
771917,40.7380104065,-74.0086975098,1,R1,231,S,2800000
349249,40.7235946655,-74.0018234253,1,R1,231,S,9750000
582921,40.8406333923,-73.7833251953,88,R9,231,S,597000
316361,40.7896766663,-73.9426345825,1,R1,231,S,498750
780753,25.769862,-80.138389,25,R4,231,R,3900
753270,25.9441594,-80.1355011,103,R4,231,S,699885
766487,40.7662887573,-73.9780502319,1,R1,231,S,674000
712063,40.7514326,-74.037766,2502,R15,231,S,260000
766101,40.7902603149,-73.9774551392,1,R1,231,S,15500000
759252,40.796599,-74.002035,2499,R15,231,S,595000
237352,40.7713165283,-73.9606018066,1,R1,231,S,3450000
495119,40.7425727844,-73.9577941895,4,R7,231,S,830000
401346,40.6691856384,-73.9744415283,3,R2,231,S,1395000
795117,40.6846199036,-73.9809112549,3,R2,231,S,3275000
775804,25.7521539,-80.1993685,2,R4,231,S,1399000
771702,40.6960334778,-73.9325180054,3,R2,231,S,589000
772124,40.7897033691,-73.9762268066,1,R1,231,S,5590000
796697,40.7095413208,-74.017074585,1,R1,231,S,999000
788058,25.7336082,-80.2478614,2,R4,231,R,7000
755112,40.7058296204,-74.0115814209,1,R1,231,S,995000
788468,34.0589281,-118.4300697,407,R12,231,S,1995000
756739,40.7469615,-74.0427172,2506,R15,231,S,1295000
789154,25.802748,-80.186576,2,R4,231,R,3450
755048,40.7158050537,-74.0118179321,1,R1,231,S,4499982
793332,33.9583215,-118.4460891,407,R12,231,S,1795000
412129,34.111569,-118.404047,1000,R12,231,S,1399000
772596,40.7383805,-74.0386092,72,R15,231,S,1750000
72031,40.8162033,-73.9403501,1,R1,231,S,519000
766692,40.762676239,-73.9669494629,1,R1,231,S,2750000
523258,25.7955112,-80.1282128,25,R4,231,R,15500
763672,25.7697105,-80.1383574,25,R4,231,R,22500
767424,40.836516,-74.142798,2511,R15,231,S,400000
766886,40.6297950745,-73.9249343872,3,R2,231,S,195000
761339,40.6318473816,-73.9600830078,3,R2,231,S,1895000
684859,40.7357063293,-73.994682312,1,R1,231,S,750000
764548,40.8232089,-74.1101566,2517,R15,231,S,635000
727175,40.7471351624,-73.9893417358,1,R1,231,S,3125000
756534,25.930144,-80.1214327,99,R4,231,R,3850
751523,40.7568699,-74.0524699,20,R15,231,S,509000
791745,40.745464325,-73.9839630127,1,R1,231,S,1925000
791741,40.7501716614,-73.9794158936,1,R1,231,S,785000
768931,40.714659,-74.0791,20,R15,231,S,475000
779788,25.762752,-80.194669,2,R4,231,S,879000
528559,40.7171325684,-74.0161056519,1,R1,231,S,2000000
782192,40.7605171204,-73.9642944336,1,R1,231,S,2500000
759175,40.72364,-74.046355,2505,R15,231,S,1850000
789813,40.777217865,-73.9887619019,1,R1,231,S,799000
791771,34.034636,-118.5090641,1032,R12,231,S,3600000
543844,40.7651138306,-73.9786834717,1,R1,231,S,22500000
477544,40.6799087524,-73.9815597534,3,R2,231,S,3199000
755731,40.7632255554,-73.8237762451,4,R7,231,S,539999
774308,40.7839736938,-73.9520645142,1,R1,231,S,525000
774307,40.8166007996,-73.9411010742,1,R1,231,S,628000
802235,40.7891638,-74.0063713,472,R15,231,S,349999
